Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-validator,org.apache.commons.validator.routines,BigIntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testBigIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractNumberValidator.isValid; org.apache.commons.validator.routines.BigIntegerValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ByteValidator.getInstance; org.apache.commons.validator.routines.ByteValidator.validate
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ByteValidator.validate; org.apache.commons.validator.routines.ByteValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ByteValidator.validate; org.apache.commons.validator.routines.ByteValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.ByteValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.ByteValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractNumberValidator.isValid; org.apache.commons.validator.routines.ByteValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ByteValidator.getInstance; org.apache.commons.validator.routines.ByteValidator.validate
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ByteValidator.validate; org.apache.commons.validator.routines.ByteValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ByteValidator.validate; org.apache.commons.validator.routines.ByteValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.ByteValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.ByteValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ByteValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testByteValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractNumberValidator.isValid; org.apache.commons.validator.routines.ByteValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.CalendarValidator; org.apache.commons.validator.routines.AbstractCalendarValidator
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.CalendarValidator.validate; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.CalendarValidator.validate; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractCalendarValidator.isValid; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.CalendarValidator.validate; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.CalendarValidator.validate; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractCalendarValidator.isValid; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.CalendarValidator.validate; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CalendarValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testCalendarValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.CalendarValidator.validate; org.apache.commons.validator.routines.CalendarValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.RegexValidator; org.apache.commons.validator.routines.CodeValidator
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testConstructors) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.RegexValidator.toString; org.apache.commons.validator.routines.CodeValidator.getRegexValidator
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testConstructors) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.RegexValidator.toString; org.apache.commons.validator.routines.CodeValidator.getRegexValidator
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testConstructors) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.RegexValidator.toString; org.apache.commons.validator.routines.CodeValidator.getRegexValidator
commons-validator,org.apache.commons.validator.routines,CodeValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testRegex) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.RegexValidator.toString; org.apache.commons.validator.routines.CodeValidator.getRegexValidator
commons-validator,org.apache.commons.validator.routines,CreditCardValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.CreditCardValidator; org.apache.commons.validator.routines.CodeValidator
commons-validator,org.apache.commons.validator.routines,CurrencyValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.CurrencyValidator
commons-validator,org.apache.commons.validator.routines,CurrencyValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFormatType) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractNumberValidator.getFormatType; org.apache.commons.validator.routines.CurrencyValidator.getInstance
commons-validator,org.apache.commons.validator.routines,CurrencyValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFormatType) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractNumberValidator.getFormatType; org.apache.commons.validator.routines.CurrencyValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.DateValidator
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DateValidator.getInstance; org.apache.commons.validator.routines.DateValidator.validate
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DateValidator.getInstance; org.apache.commons.validator.routines.DateValidator.validate
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.DateValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.DateValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractCalendarValidator.isValid; org.apache.commons.validator.routines.DateValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DateValidator.getInstance; org.apache.commons.validator.routines.DateValidator.validate
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DateValidator.getInstance; org.apache.commons.validator.routines.DateValidator.validate
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.DateValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.DateValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractCalendarValidator.isValid; org.apache.commons.validator.routines.DateValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DateValidator.validate; org.apache.commons.validator.routines.DateValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDateValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DateValidator.validate; org.apache.commons.validator.routines.DateValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DoubleValidator.getInstance; org.apache.commons.validator.routines.DoubleValidator.validate
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DoubleValidator.getInstance; org.apache.commons.validator.routines.DoubleValidator.validate
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DoubleValidator.getInstance; org.apache.commons.validator.routines.DoubleValidator.validate
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DoubleValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.DoubleValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DoubleValidator.getInstance; org.apache.commons.validator.routines.AbstractNumberValidator.isValid
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DoubleValidator.getInstance; org.apache.commons.validator.routines.DoubleValidator.validate
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DoubleValidator.getInstance; org.apache.commons.validator.routines.DoubleValidator.validate
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DoubleValidator.getInstance; org.apache.commons.validator.routines.DoubleValidator.validate
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DoubleValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.DoubleValidator.getInstance
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testDoubleValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.DoubleValidator.getInstance; org.apache.commons.validator.routines.AbstractNumberValidator.isValid
commons-validator,org.apache.commons.validator.routines,EmailValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.EmailValidator
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.FloatValidator.validate
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.FloatValidator.validate
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.FloatValidator.validate
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.AbstractNumberValidator.isValid
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.FloatValidator.validate
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.FloatValidator.validate
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.FloatValidator.validate
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFloatValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.FloatValidator.getInstance; org.apache.commons.validator.routines.AbstractNumberValidator.isValid
commons-validator,org.apache.commons.validator.routines,IBANValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.IBANValidator
commons-validator,org.apache.commons.validator.routines,IBANValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testGetRegexValidatortPatterns) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IBANValidator.getValidator; org.apache.commons.validator.routines.RegexValidator.getPatterns
commons-validator,org.apache.commons.validator.routines,InetAddressValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.InetAddressValidator
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.IntegerValidator.validate
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.IntegerValidator.validate
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.IntegerValidator.validate
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.AbstractNumberValidator.isValid
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.IntegerValidator.validate
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.IntegerValidator.validate
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.IntegerValidator.validate
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testIntegerValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.IntegerValidator.getInstance; org.apache.commons.validator.routines.AbstractNumberValidator.isValid
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.LongValidator.getInstance; org.apache.commons.validator.routines.LongValidator.validate
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.LongValidator.validate; org.apache.commons.validator.routines.LongValidator.getInstance
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.LongValidator.validate; org.apache.commons.validator.routines.LongValidator.getInstance
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.LongValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.LongValidator.getInstance
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.LongValidator.getInstance; org.apache.commons.validator.routines.AbstractNumberValidator.isValid
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.LongValidator.getInstance; org.apache.commons.validator.routines.LongValidator.validate
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.LongValidator.validate; org.apache.commons.validator.routines.LongValidator.getInstance
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.LongValidator.validate; org.apache.commons.validator.routines.LongValidator.getInstance
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.LongValidator.getInstance; org.apache.commons.validator.routines.AbstractFormatValidator.isValid
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.LongValidator.getInstance
